Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Loss Prevention,Full Time,77197.86666666667,40%,457,1439,0.3175816539263377,Sales & Marketing
Loss Prevention Investigator,Full Time,52124.80000000001,50%,390,1376,0.2834302325581395,Leadership & Strategy
Lot Attendant,Full Time,31200.0,45%,230,837,0.2747909199522103,Data & IT
Lube Technician,Full Time,33280.0,25%,159,1348,0.1179525222551928,Sales & Marketing
Lumper,Full Time,38480.0,10%,425,1675,0.2537313432835821,Administrative & Clerical
Machinist,Full Time,65535.67058823529,20%,116,776,0.1494845360824742,Medical & Healthcare
Machinist,Other,73288.79999999999,20%,116,776,0.1494845360824742,Medical & Healthcare
Machinist,Part Time,31200.0,20%,116,776,0.1494845360824742,Medical & Healthcare
Mail Clerk,Full Time,34444.799999999996,95%,193,1366,0.1412884333821376,Leadership & Strategy
Mail Sorter,Other,39520.0,75%,136,1219,0.1115668580803937,Hospitality
Mailroom Clerk,Full Time,43215.0,70%,135,1205,0.1120331950207468,Sales & Marketing
Maintenance,Full Time,71358.4265060241,18%,457,1854,0.2464940668824164,Construction
Maintenance,Other,109200.0,18%,457,1854,0.2464940668824164,Construction
Maintenance,Part Time,35880.0,18%,457,1854,0.2464940668824164,Construction
Maintenance Director,Full Time,96200.0,40%,399,1357,0.2940309506263817,Medical & Healthcare
Maintenance Electrician,Full Time,66718.6,20%,141,1144,0.1232517482517482,Law Enforcement
Maintenance Engineer,Full Time,89320.53333333334,30%,202,1552,0.1301546391752577,Supply Chain & Logistics
Maintenance Engineer,Other,98500.0,30%,202,1552,0.1301546391752577,Supply Chain & Logistics
Maintenance Manager,Full Time,103945.38555555555,40%,407,1380,0.294927536231884,Construction
Maintenance Mechanic,Full Time,61050.37689655172,20%,143,1185,0.120675105485232,Construction
Maintenance Planner,Full Time,23595.675,30%,213,1585,0.134384858044164,Law Enforcement
Maintenance Planner,Other,126360.0,30%,213,1585,0.134384858044164,Law Enforcement
Maintenance Superintendent,Full Time,107062.5,40%,397,1376,0.2885174418604651,Sales & Marketing
Maintenance Supervisor,Full Time,87367.5,20%,147,1216,0.1208881578947368,Sales & Marketing
Maintenance Supervisor,Other,67600.0,20%,147,1216,0.1208881578947368,Sales & Marketing
Maintenance Technician,Full Time,58967.509523809524,25%,198,1563,0.1266794625719769,Data & IT
Maintenance Technician,Other,42900.0,25%,198,1563,0.1266794625719769,Data & IT
Maintenance Technician,Part Time,45760.0,25%,198,1563,0.1266794625719769,Data & IT
Major Gifts Officer,Full Time,75000.0,30%,219,1732,0.1264434180138568,Construction
Mall,Full Time,42026.4,10%,650,2786,0.2333094041636755,Sales & Marketing
Mall,Part Time,36840.26666666667,10%,650,2786,0.2333094041636755,Sales & Marketing
Mammography Technologist,Full Time,105391.63999999998,30%,112,1067,0.1049671977507029,Leadership & Strategy
Mammography Technologist,Other,125560.0,30%,112,1067,0.1049671977507029,Leadership & Strategy
Mammography Technologist,Part Time,109652.4,30%,112,1067,0.1049671977507029,Leadership & Strategy
Management Engineer,Full Time,125000.0,30%,259,1854,0.139697950377562,Supply Chain & Logistics
Management Engineer,Other,161200.0,30%,259,1854,0.139697950377562,Supply Chain & Logistics
Manager,Full Time,255251.36214637148,15%,1316,5181,0.2540050183362285,Medical & Healthcare
Manager,Other,107729.50560747663,15%,1316,5181,0.2540050183362285,Medical & Healthcare
Manager,Part Time,78243.41666666667,15%,1316,5181,0.2540050183362285,Medical & Healthcare
Managing Director,Full Time,225900.83333333334,15%,1116,4285,0.260443407234539,Hospitality
Managing Director,Other,96000.0,15%,1116,4285,0.260443407234539,Hospitality
Managing Partner,Full Time,163100.0,10%,802,2992,0.268048128342246,Medical & Healthcare
Manual Tester,Full Time,87500.0,60%,121,1016,0.1190944881889763,Law Enforcement
Manual Tester,Other,67600.0,60%,121,1016,0.1190944881889763,Law Enforcement
Manufacturing,Full Time,102048.67222222223,10%,640,2655,0.2410546139359698,Leadership & Strategy
Manufacturing,Other,49400.0,10%,640,2655,0.2410546139359698,Leadership & Strategy
Manufacturing Engineer,Full Time,110628.26734693877,30%,224,1371,0.1633843909555069,Communication & PR
Manufacturing Engineer,Other,96634.97368421052,30%,224,1371,0.1633843909555069,Communication & PR
Manufacturing Manager,Full Time,116837.5,25%,194,1364,0.1422287390029325,Data & IT
Manufacturing Operations Manager,Full Time,130000.0,25%,258,1853,0.1392336751214247,Sales & Marketing
Manufacturing Operator,Full Time,50284.0,50%,58,512,0.11328125,Communication & PR
Manufacturing Operator,Other,39520.0,50%,58,512,0.11328125,Communication & PR
Manufacturing Process Engineer,Full Time,86700.0,35%,715,2635,0.2713472485768501,Supply Chain & Logistics
Manufacturing Process Engineer,Other,90480.0,35%,715,2635,0.2713472485768501,Supply Chain & Logistics
Manufacturing Technician,Full Time,47317.9875,40%,432,1757,0.2458736482640865,Data & IT
Manufacturing Technician,Other,59280.0,40%,432,1757,0.2458736482640865,Data & IT
Marine,Full Time,49920.0,5%,255,934,0.2730192719486081,Leadership & Strategy
Market Researcher,Other,114400.0,40%,1037,3356,0.3089988081048868,Construction
Marketer,Full Time,160909.375,30%,288,2208,0.1304347826086956,Law Enforcement
Marketer,Part Time,57200.0,30%,288,2208,0.1304347826086956,Law Enforcement
Marketing,Full Time,423637.54691964283,45%,863,3239,0.2664402593393022,Medical & Healthcare
Marketing,Other,94992.59285714287,45%,863,3239,0.2664402593393022,Medical & Healthcare
Marketing,Part Time,45165.71428571428,45%,863,3239,0.2664402593393022,Medical & Healthcare
Marketing Operations Manager,Full Time,78750.0,55%,165,1338,0.1233183856502242,Supply Chain & Logistics
Material Engineer,Other,42649.666666666664,31%,168,1167,0.1439588688946015,Administrative & Clerical
Material Handler,Full Time,47948.727999999996,40%,352,1212,0.2904290429042904,Administrative & Clerical
Material Handler,Other,43414.75,40%,352,1212,0.2904290429042904,Administrative & Clerical
Material Handler,Part Time,36853.44,40%,352,1212,0.2904290429042904,Administrative & Clerical
Materials Coordinator,Full Time,56794.4,50%,135,974,0.1386036960985626,Medical & Healthcare
Materials Coordinator,Other,67600.0,50%,135,974,0.1386036960985626,Medical & Healthcare
Materials Engineer,Full Time,86910.0,25%,445,1345,0.3308550185873606,Medical & Healthcare
Materials Engineer,Other,61360.0,25%,445,1345,0.3308550185873606,Medical & Healthcare
Materials Manager,Full Time,107800.0,30%,228,1373,0.1660597232337946,Hospitality
Materials Manager,Other,145600.0,30%,228,1373,0.1660597232337946,Hospitality
Mathematician,Part Time,18720.0,55%,75,736,0.1019021739130434,Hospitality
Meat Cutter,Full Time,44512.0,10%,197,856,0.2301401869158878,Hospitality
Mechanic,Full Time,76775.64779661017,18%,358,1485,0.241077441077441,Data & IT
Mechanic,Other,64480.0,18%,358,1485,0.241077441077441,Data & IT
Mechanic,Part Time,55265.6,18%,358,1485,0.241077441077441,Data & IT
Mechanical Assembler,Full Time,44595.76153846154,20%,128,1127,0.1135758651286601,Communication & PR
Mechanical Assembler,Other,47174.4,20%,128,1127,0.1135758651286601,Communication & PR
Mechanical Designer,Full Time,82500.0,40%,485,1864,0.2601931330472103,Data & IT
Mechanical Designer,Other,64480.0,40%,485,1864,0.2601931330472103,Data & IT
Mechanical Engineer,Full Time,106938.69642857143,30%,173,1196,0.1446488294314381,Medical & Healthcare
Mechanical Engineer,Other,96530.90909090909,30%,173,1196,0.1446488294314381,Medical & Healthcare
Mechanical Technician,Full Time,63355.86,20%,157,1216,0.1291118421052631,Data & IT
Mechanical Technician,Other,83200.0,20%,157,1216,0.1291118421052631,Data & IT
Mechatronics Engineer,Full Time,135750.0,40%,434,1677,0.2587954680977937,Administrative & Clerical
Mechatronics Engineer,Other,54080.0,40%,434,1677,0.2587954680977937,Administrative & Clerical
Media Coordinator,Full Time,56098.8,35%,1020,3559,0.2865973588086541,Data & IT
Media Coordinator,Other,41600.0,35%,1020,3559,0.2865973588086541,Data & IT
Media Coordinator,Part Time,78346.66666666667,35%,1020,3559,0.2865973588086541,Data & IT
Media Director,Full Time,122500.0,25%,770,2159,0.3566465956461325,Law Enforcement
Media Planner,Full Time,50230.64,25%,813,2673,0.3041526374859708,Construction
Media Planner,Other,70720.0,25%,813,2673,0.3041526374859708,Construction
Media Producer,Full Time,58000.0,25%,793,2650,0.2992452830188679,Supply Chain & Logistics
Medical Biller,Full Time,46930.0,65%,137,832,0.1646634615384615,Construction
Medical Biller,Part Time,60000.0,65%,137,832,0.1646634615384615,Construction
Medical Claims Processor,Full Time,44720.0,65%,140,836,0.1674641148325359,Leadership & Strategy
Medical Claims Processor,Other,46540.0,65%,140,836,0.1674641148325359,Leadership & Strategy
Medical Coder,Full Time,55315.666666666664,75%,109,773,0.1410090556274256,Data & IT
Medical Coder,Other,65866.66666666667,75%,109,773,0.1410090556274256,Data & IT
Medical Collector,Full Time,43680.0,70%,10,52,0.1923076923076923,Administrative & Clerical
Medical Consultant,Other,624000.0,50%,100,779,0.128369704749679,Administrative & Clerical
Medical Director,Full Time,270210.00920000003,15%,821,3394,0.2418974661166764,Administrative & Clerical
Medical Director,Other,447200.0,15%,821,3394,0.2418974661166764,Administrative & Clerical
Medical Director,Part Time,225000.0,15%,821,3394,0.2418974661166764,Administrative & Clerical
Medical Doctor,Full Time,264249.5,10%,472,1673,0.2821279139270771,Leadership & Strategy
Medical Doctor,Other,186160.0,10%,472,1673,0.2821279139270771,Leadership & Strategy
Medical Doctor,Part Time,546000.0,10%,472,1673,0.2821279139270771,Leadership & Strategy
Medical Editor,Full Time,90000.0,25%,838,2421,0.3461379595208591,Construction
Medical Interpreter,Part Time,52624.0,35%,419,1730,0.2421965317919075,Law Enforcement
Medical Laboratory Scientist,Full Time,87016.8,35%,342,1343,0.2546537602382725,Hospitality
Medical Laboratory Scientist,Other,68640.0,35%,342,1343,0.2546537602382725,Hospitality
Medical Laboratory Technologist,Full Time,75817.0,35%,340,1340,0.2537313432835821,Data & IT
Medical Laboratory Technologist,Other,65866.66666666667,35%,340,1340,0.2537313432835821,Data & IT
Medical Office Manager,Part Time,62400.0,20%,220,1345,0.1635687732342007,Data & IT
Medical Officer,Full Time,363220.735,25%,434,1365,0.3179487179487179,Law Enforcement
Medical Practice Manager,Full Time,81333.33333333333,45%,609,2055,0.2963503649635036,Medical & Healthcare
Medical Records Technician,Part Time,40560.0,45%,568,1830,0.3103825136612022,Supply Chain & Logistics
Medical Sales,Full Time,105000.0,45%,554,1580,0.350632911392405,Supply Chain & Logistics
Medical Sales Representative,Full Time,117230.0,50%,530,1676,0.3162291169451074,Communication & PR
Medical Scheduler,Full Time,41600.0,40%,518,1687,0.3070539419087137,Law Enforcement
Medical Science Liaison,Full Time,211418.92307692306,20%,988,3937,0.2509525019050038,Data & IT
Medical Scribe,Full Time,35913.8,85%,202,1696,0.1191037735849056,Medical & Healthcare
Medical Social Worker,Full Time,105510.13333333335,20%,177,1094,0.1617915904936014,Medical & Healthcare
Medical Technician,Full Time,45833.6,35%,306,1131,0.2705570291777188,Administrative & Clerical
Medical Technician,Other,46800.0,35%,306,1131,0.2705570291777188,Administrative & Clerical
Medical Technician,Part Time,56160.0,35%,306,1131,0.2705570291777188,Administrative & Clerical
Medical Technologist,Full Time,77811.76,35%,301,1125,0.2675555555555555,Leadership & Strategy
Medical Technologist,Part Time,82914.0,35%,301,1125,0.2675555555555555,Leadership & Strategy
Medical Writer,Full Time,85780.0,25%,833,2432,0.3425164473684211,Sales & Marketing
Medical Writer,Other,163800.0,25%,833,2432,0.3425164473684211,Sales & Marketing
Meeting Planner,Full Time,58500.0,20%,163,1506,0.1082337317397078,Construction
Mental Health Professional,Full Time,85500.0,10%,603,2304,0.26171875,Law Enforcement
Mental Health Professional,Other,74880.0,10%,603,2304,0.26171875,Law Enforcement
Mental Health Professional,Part Time,62535.2,10%,603,2304,0.26171875,Law Enforcement
Mental Health Worker,Full Time,43888.0,12%,596,2250,0.2648888888888889,Supply Chain & Logistics
Mentor,Full Time,52897.025,10%,823,3619,0.227410886985355,Data & IT
Mentor,Part Time,35131.2,10%,823,3619,0.227410886985355,Data & IT
Merchandise Coordinator,Full Time,50000.0,40%,804,2897,0.2775284777355885,Sales & Marketing
Merchandise Planner,Full Time,80000.0,30%,240,1896,0.1265822784810126,Leadership & Strategy
Merchandiser,Full Time,44129.10526315789,25%,658,1759,0.374076179647527,Law Enforcement
Merchandiser,Other,50325.6,25%,658,1759,0.374076179647527,Law Enforcement
Merchandiser,Part Time,33909.53191489362,25%,658,1759,0.374076179647527,Law Enforcement
Merchandising,Full Time,60220.0,10%,747,3111,0.2401157184185149,Communication & PR
Merchandising,Other,44200.0,10%,747,3111,0.2401157184185149,Communication & PR
Merchandising,Part Time,36088.0,10%,747,3111,0.2401157184185149,Communication & PR
Merchandising Coordinator,Full Time,102000.0,60%,162,1111,0.1458145814581458,Hospitality
Metallurgical Engineer,Full Time,145000.0,30%,154,823,0.1871202916160388,Supply Chain & Logistics
Metallurgist,Full Time,101000.0,20%,76,658,0.1155015197568389,Construction
Meteorologist,Full Time,130000.0,25%,320,1074,0.297951582867784,Supply Chain & Logistics
Microbiologist,Full Time,46800.0,20%,119,767,0.1551499348109517,Construction
Microbiologist,Other,70475.59999999999,20%,119,767,0.1551499348109517,Construction
Microbiology,Full Time,95597.6,30%,137,1032,0.1327519379844961,Data & IT
Microbiology,Other,45373.12,30%,137,1032,0.1327519379844961,Data & IT
Middleware Engineer,Full Time,152880.0,46%,488,1923,0.2537701508060322,Sales & Marketing
Midwife,Full Time,142500.0,25%,327,1006,0.3250497017892644,Leadership & Strategy
Military,Full Time,167500.0,5%,257,930,0.2763440860215054,Medical & Healthcare
Military,Part Time,27788.8,5%,257,930,0.2763440860215054,Medical & Healthcare
Military Police,Full Time,60000.0,10%,541,1705,0.3173020527859237,Communication & PR
Millwright,Full Time,62400.0,18%,309,1674,0.1845878136200716,Administrative & Clerical
Miner,Full Time,45760.0,10%,207,653,0.3169984686064318,Communication & PR
Mobile Engineer,Full Time,107770.0,50%,137,1106,0.1238698010849909,Leadership & Strategy
Model,Full Time,220930.0,5%,641,2398,0.2673060884070058,Construction
Model,Other,98800.0,5%,641,2398,0.2673060884070058,Construction
Modeler,Full Time,118232.5,20%,154,1215,0.1267489711934156,Supply Chain & Logistics
Molecular Biologist,Full Time,72500.0,20%,115,761,0.1511169513797634,Hospitality
Monitor,Full Time,82536.87733333332,30%,135,906,0.1490066225165563,Medical & Healthcare
Monitor,Other,110487.0,30%,135,906,0.1490066225165563,Medical & Healthcare
Monitor,Part Time,39336.26666666667,30%,135,906,0.1490066225165563,Medical & Healthcare
Mortgage Banker,Full Time,90000.0,20%,178,1149,0.154917319408181,Hospitality
Mortgage Loan Processor,Full Time,57500.0,70%,146,1322,0.1104387291981845,Communication & PR
Mortgage Loan Processor,Other,62400.0,70%,146,1322,0.1104387291981845,Communication & PR
Mover,Other,46800.0,25%,165,625,0.264,Supply Chain & Logistics
Music Director,Full Time,46000.0,10%,429,1648,0.2603155339805825,Leadership & Strategy
Nanny,Full Time,105450.0,5%,455,1667,0.2729454109178164,Medical & Healthcare
National Account Executive,Full Time,87500.0,55%,115,1014,0.1134122287968441,Medical & Healthcare
National Account Manager,Full Time,96562.5,25%,194,1208,0.1605960264900662,Hospitality
National Sales Director,Full Time,60000.0,30%,707,2002,0.3531468531468531,Sales & Marketing
National Sales Manager,Full Time,118683.33333333333,29%,703,1989,0.3534439416792358,Hospitality
Negotiator,Full Time,115000.0,15%,876,3713,0.2359278211688661,Data & IT
Negotiator,Other,134205.76,15%,876,3713,0.2359278211688661,Data & IT
Nephrologist,Full Time,229352.0,12%,393,1431,0.2746331236897275,Construction
Network Architect,Full Time,174500.0,40%,778,2346,0.3316283034953112,Administrative & Clerical
Network Architect,Other,159813.33333333334,40%,778,2346,0.3316283034953112,Administrative & Clerical
Network Engineer,Full Time,138893.4,55%,141,1049,0.1344137273593899,Leadership & Strategy
Network Engineer,Other,105312.88888888889,55%,141,1049,0.1344137273593899,Leadership & Strategy
Network Security Engineer,Full Time,157500.0,55%,142,1056,0.1344696969696969,Medical & Healthcare
Network Security Engineer,Other,116133.33333333333,55%,142,1056,0.1344696969696969,Medical & Healthcare
Network Support Engineer,Full Time,92366.0,55%,141,1049,0.1344137273593899,Supply Chain & Logistics
Network Support Technician,Full Time,37440.0,40%,806,2527,0.3189552829442026,Medical & Healthcare
Network Systems Engineer,Full Time,105000.0,55%,141,1049,0.1344137273593899,Law Enforcement
Network Technician,Full Time,46800.0,30%,257,1648,0.1559466019417475,Supply Chain & Logistics
Neurologist,Full Time,271857.75,12%,423,1494,0.2831325301204819,Sales & Marketing
Neuropsychologist,Full Time,150000.0,12%,443,1739,0.2547441058079356,Hospitality
News Producer,Full Time,61000.0,20%,219,1783,0.1228266965787997,Supply Chain & Logistics
Night,Full Time,96076.0976744186,15%,245,912,0.2686403508771929,Hospitality
Night,Other,94824.86,15%,245,912,0.2686403508771929,Hospitality
Night,Part Time,94391.94285714286,15%,245,912,0.2686403508771929,Hospitality
Nuclear Medicine Technologist,Full Time,105728.5,25%,321,1071,0.299719887955182,Supply Chain & Logistics
Nuclear Medicine Technologist,Other,110240.0,25%,321,1071,0.299719887955182,Supply Chain & Logistics
Nurse,Full Time,92277.66065281899,5%,710,2594,0.2737085582112567,Medical & Healthcare
Nurse,Other,88923.76176470588,5%,710,2594,0.2737085582112567,Medical & Healthcare
Nurse,Part Time,98190.78607843137,5%,710,2594,0.2737085582112567,Medical & Healthcare
Nurse Aide,Full Time,37336.0,55%,49,439,0.1116173120728929,Sales & Marketing
Nurse Anesthetist,Full Time,189556.68333333335,15%,444,1696,0.2617924528301887,Leadership & Strategy
Nurse Clinician,Full Time,62015.2,40%,452,1493,0.3027461486939048,Law Enforcement
Nurse Extern,Part Time,48334.0,21%,133,771,0.172503242542153,Construction
Nurse Manager,Full Time,138501.13333333333,20%,900,3448,0.2610208816705336,Medical & Healthcare
Nurse Practitioner,Full Time,132813.0050943396,45%,365,1268,0.2878548895899053,Construction
Nurse Practitioner,Other,194975.55555555556,45%,365,1268,0.2878548895899053,Construction
Nurse Practitioner,Part Time,127361.65966666667,45%,365,1268,0.2878548895899053,Construction
Nurse Technician,Part Time,35204.0,55%,50,447,0.1118568232662192,Hospitality
Nursing,Full Time,102087.40277777778,35%,237,882,0.2687074829931973,Leadership & Strategy
Nursing,Other,223714.4,35%,237,882,0.2687074829931973,Leadership & Strategy
Nursing,Part Time,74451.28888888888,35%,237,882,0.2687074829931973,Leadership & Strategy
Nutrition Manager,Full Time,83376.8,30%,158,1030,0.1533980582524272,Supply Chain & Logistics
Nutritionist,Full Time,57588.0,20%,147,980,0.15,Hospitality
Occupational Health Nurse,Full Time,100000.0,33%,106,565,0.1876106194690265,Communication & PR
Occupational Health Nurse,Other,99840.0,33%,106,565,0.1876106194690265,Communication & PR
Office,Full Time,122312.57142857143,10%,714,3367,0.212058212058212,Leadership & Strategy
Office,Other,37440.0,10%,714,3367,0.212058212058212,Leadership & Strategy
Office,Part Time,201300.0,10%,714,3367,0.212058212058212,Leadership & Strategy
Office Clerk,Full Time,19.0,60%,98,822,0.1192214111922141,Supply Chain & Logistics
Office Clerk,Other,42640.0,60%,98,822,0.1192214111922141,Supply Chain & Logistics
Office Clerk,Part Time,35734.4,60%,98,822,0.1192214111922141,Supply Chain & Logistics
Office Coordinator,Full Time,50604.0,30%,193,1334,0.1446776611694153,Construction
Office Coordinator,Other,53733.333333333336,30%,193,1334,0.1446776611694153,Construction
Office Coordinator,Part Time,44720.0,30%,193,1334,0.1446776611694153,Construction
Office Technician,Part Time,33072.0,20%,201,1413,0.1422505307855626,Administrative & Clerical
Officer,Full Time,140455.58228571428,10%,530,1687,0.3141671606401897,Administrative & Clerical
Officer,Other,163750.0,10%,530,1687,0.3141671606401897,Administrative & Clerical
Officer,Part Time,31200.0,10%,530,1687,0.3141671606401897,Administrative & Clerical
Oncologist,Full Time,425000.0,12%,416,1455,0.2859106529209622,Medical & Healthcare
Oncology Nurse,Full Time,127649.6,40%,444,1475,0.3010169491525423,Leadership & Strategy
Operating Engineer,Full Time,79996.8,40%,380,1509,0.2518223989396951,Supply Chain & Logistics
Operations Coordinator,Full Time,58582.333333333336,30%,228,1468,0.1553133514986376,Hospitality
Operations Coordinator,Other,61706.666666666664,30%,228,1468,0.1553133514986376,Hospitality
Operations Coordinator,Part Time,57200.0,30%,228,1468,0.1553133514986376,Hospitality
Operations Engineer,Full Time,116895.20000000001,45%,186,1833,0.1014729950900163,Communication & PR
Operations Engineer,Other,67350.40000000001,45%,186,1833,0.1014729950900163,Communication & PR
Operations Manager,Full Time,101636.88143939394,25%,232,1461,0.1587953456536618,Communication & PR
Operations Manager,Other,93733.93333333333,25%,232,1461,0.1587953456536618,Communication & PR
Operations Manager,Part Time,87.5,25%,232,1461,0.1587953456536618,Communication & PR
Operations Research Analyst,Full Time,113456.0,65%,174,1119,0.1554959785522788,Medical & Healthcare
Operations Supervisor,Full Time,75739.01764705882,30%,207,1373,0.1507647487254187,Sales & Marketing
Operations Supervisor,Other,158808.0,30%,207,1373,0.1507647487254187,Sales & Marketing
Operations Technician,Full Time,62679.924999999996,20%,210,1433,0.1465457083042568,Leadership & Strategy
Operations Technician,Other,53560.0,20%,210,1433,0.1465457083042568,Leadership & Strategy
Operator,Full Time,50009.65590697674,45%,98,1180,0.0830508474576271,Hospitality
Operator,Other,39166.4,45%,98,1180,0.0830508474576271,Hospitality
Operator,Part Time,58779.5,45%,98,1180,0.0830508474576271,Hospitality
Ophthalmic Technician,Full Time,34320.0,20%,171,1364,0.125366568914956,Medical & Healthcare
Ophthalmologist,Part Time,275000.0,12%,389,1468,0.2649863760217983,Supply Chain & Logistics
Optical Engineer,Full Time,159902.5,20%,630,2780,0.2266187050359712,Data & IT
Optician,Full Time,56030.0,50%,49,503,0.0974155069582504,Data & IT
Optician,Part Time,56030.0,50%,49,503,0.0974155069582504,Data & IT
Optometrist,Full Time,138600.2,20%,457,1866,0.2449088960342979,Data & IT
Oral Surgeon,Full Time,650000.0,12%,378,1405,0.2690391459074733,Law Enforcement
Oral Surgeon,Part Time,60000.0,12%,378,1405,0.2690391459074733,Law Enforcement
Order Builder,Full Time,39000.0,40%,341,1195,0.2853556485355648,Leadership & Strategy
Order Filler,Full Time,39052.0,80%,133,1021,0.1302644466209598,Hospitality
Order Picker,Full Time,49306.4,40%,345,1200,0.2875,Medical & Healthcare
Order Picker,Part Time,34840.0,40%,345,1200,0.2875,Medical & Healthcare
Order Puller,Full Time,37960.0,40%,343,1198,0.2863105175292154,Supply Chain & Logistics
Order Selector,Full Time,51041.75,45%,116,1331,0.087152516904583,Communication & PR
Organizer,Part Time,52000.0,35%,823,3094,0.2659987071751777,Administrative & Clerical
Orthodontist,Full Time,350000.0,12%,377,1416,0.2662429378531073,Construction
Orthopedic Surgeon,Full Time,680000.0,12%,393,1427,0.2754029432375613,Communication & PR
Outreach Coordinator,Full Time,56625.0,40%,901,3233,0.2786885245901639,Construction
Outside Sales,Full Time,84345.83333333333,45%,727,2260,0.3216814159292035,Law Enforcement
Outside Sales Rep,Full Time,85709.85294117648,50%,210,1948,0.1078028747433264,Data & IT
Outside Sales Rep,Other,71000.0,50%,210,1948,0.1078028747433264,Data & IT
Package Handler,Full Time,40813.5,50%,112,1318,0.0849772382397572,Supply Chain & Logistics
Package Handler,Part Time,37747.32,50%,112,1318,0.0849772382397572,Supply Chain & Logistics
Packager,Full Time,48464.0,50%,111,1316,0.0843465045592705,Law Enforcement
Packaging,Full Time,114063.5,35%,161,1310,0.1229007633587786,Medical & Healthcare
Packaging,Other,93336.1,35%,161,1310,0.1229007633587786,Medical & Healthcare
Packer,Full Time,39455.0,30%,100,511,0.1956947162426614,Data & IT
Packer,Other,29120.0,30%,100,511,0.1956947162426614,Data & IT
Painter,Full Time,43197.7,5%,279,1486,0.1877523553162853,Data & IT
Paralegal,Full Time,1418268.267857143,50%,144,982,0.1466395112016293,Supply Chain & Logistics
Paralegal,Other,89336.0,50%,144,982,0.1466395112016293,Supply Chain & Logistics
Paralegal,Part Time,61066.666666666664,50%,144,982,0.1466395112016293,Supply Chain & Logistics
Paramedic,Full Time,76047.05,20%,109,714,0.1526610644257703,Hospitality
Paramedic,Other,95840.0,20%,109,714,0.1526610644257703,Hospitality
Paraprofessional,Full Time,34580.0,15%,1040,4613,0.2254498157381313,Data & IT
Parking Attendant,Part Time,40040.0,26%,191,694,0.2752161383285302,Supply Chain & Logistics
Partner,Full Time,289656.05,5%,607,2594,0.2340015420200462,Hospitality
Partner,Other,101496.57142857143,5%,607,2594,0.2340015420200462,Hospitality
Pastry Chef,Full Time,113000.0,20%,63,459,0.1372549019607843,Law Enforcement
Patent Attorney,Full Time,284642.85714285716,30%,176,1168,0.1506849315068493,Medical & Healthcare
Pathologist,Full Time,105846.35371428571,12%,422,1559,0.2706863373957665,Administrative & Clerical
Pathologist,Other,63051.42857142857,12%,422,1559,0.2706863373957665,Administrative & Clerical
Pathologist,Part Time,106229.56923076922,12%,422,1559,0.2706863373957665,Administrative & Clerical
Patient Access Representative,Full Time,52873.6,35%,441,1710,0.2578947368421053,Sales & Marketing
Patient Access Representative,Other,39520.0,35%,441,1710,0.2578947368421053,Sales & Marketing
Patient Access Representative,Part Time,47840.0,35%,441,1710,0.2578947368421053,Sales & Marketing
Patient Account Representative,Full Time,40300.0,50%,103,813,0.1266912669126691,Medical & Healthcare
Patient Care Technician,Full Time,47723.520000000004,20%,177,1150,0.1539130434782608,Data & IT
Patient Care Technician,Part Time,44449.6,20%,177,1150,0.1539130434782608,Data & IT
Patient Escort,Full Time,54870.4,15%,459,1880,0.2441489361702127,Hospitality
Patient Navigator,Full Time,42010.8,20%,195,1133,0.1721094439541041,Administrative & Clerical
Patient Service Representative,Full Time,42288.13333333333,40%,386,1468,0.2629427792915531,Hospitality
Patient Service Representative,Other,47840.0,40%,386,1468,0.2629427792915531,Hospitality
Patient Service Representative,Part Time,54984.8,40%,386,1468,0.2629427792915531,Hospitality
Patient Services Representative,Part Time,48880.0,40%,392,1473,0.2661235573659199,Data & IT
Patient Sitter,Other,36795.2,20%,97,648,0.1496913580246913,Leadership & Strategy
Patient Transport,Full Time,41288.0,20%,128,819,0.1562881562881563,Medical & Healthcare
Patrol Officer,Full Time,43680.0,15%,565,2259,0.2501106684373617,Medical & Healthcare
Patrol Officer,Part Time,39520.0,15%,565,2259,0.2501106684373617,Medical & Healthcare
Payroll,Full Time,89380.0,5%,667,2667,0.2500937382827146,Data & IT
Payroll Manager,Full Time,111363.63636363637,25%,688,2069,0.3325277912034799,Sales & Marketing
Payroll Manager,Other,124800.0,25%,688,2069,0.3325277912034799,Sales & Marketing
Payroll Processor,Other,43680.0,70%,145,1302,0.1113671274961597,Data & IT
Payroll Supervisor,Full Time,130000.0,35%,718,2405,0.2985446985446985,Communication & PR
Pediatric Dentist,Full Time,250000.0,12%,397,1444,0.2749307479224376,Medical & Healthcare
Pediatrician,Full Time,250833.33333333334,12%,451,1529,0.2949640287769784,Law Enforcement
Performance Analyst,Full Time,61560.0,60%,176,1339,0.1314413741598207,Communication & PR
Performance Engineer,Full Time,142233.35166666665,25%,479,1384,0.3460982658959537,Construction
Performer,Part Time,29120.0,10%,874,3842,0.2274856845393024,Communication & PR
Personal Care Attendant,Full Time,45240.0,20%,130,935,0.1390374331550802,Construction
Personal Injury Attorney,Full Time,152450.0,25%,423,1288,0.328416149068323,Supply Chain & Logistics
Personal Shopper,Full Time,41600.0,50%,71,543,0.1307550644567219,Communication & PR
Pest Control Technician,Full Time,52849.6,28%,214,816,0.2622549019607843,Hospitality
Pharmaceutical Sales Representative,Full Time,105000.0,55%,120,1045,0.1148325358851674,Supply Chain & Logistics
